region,room_availability_bs,price,rating,rating_count,transaction_count,tipe_kos,room_area,is_discount,is_electricity,is_kamar_mandi_dalam,is_kloset_duduk,fac_keamanan,fac_sirkulasi_udara,fac_parkir_motor,fac_parkir_mobil,fac_ruang_bersama,fac_layanan_kebersihan,fac_area_jemur,is_full_furnished,fac_ac,fac_tv,fac_bantal,fac_cermin,fac_shower,fac_air_panas,fac_wifi,fac_kulkas,fac_dapur,fac_dispenser,fac_kipas_angin,fac_kursi,fac_guling,fac_wastafel,fac_ember_mandi,fac_mesin_cuci,fac_bak_mandi
Jakarta Timur,1.00,1500000.00,0.00,0.00,2.00,Kos Putri,12.00,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0
Jakarta Barat,0.00,2600000.00,0.00,0.00,3.00,Kos Campur,16.00,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0
Jakarta Barat,1.00,2400000.00,4.40,4.00,3.00,Kos Campur,12.00,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0
Jakarta Pusat,0.00,1325000.00,4.30,11.00,23.00,Kos Putri,7.92,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Jakarta Timur,0.00,855000.00,0.00,0.00,0.00,Kos Campur,7.29,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0
Jakarta Pusat,1.00,1235000.00,4.80,7.00,8.00,Kos Putra,17.60,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Jakarta Pusat,0.00,1140000.00,4.80,4.00,9.00,Kos Putra,12.00,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
Jakarta Pusat,0.00,760000.00,4.80,21.00,35.00,Kos Putra,9.00,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Jakarta Selatan,0.00,927500.00,4.80,9.00,17.00,Kos Campur,6.44,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Jakarta Pusat,0.00,1083000.00,5.00,4.00,8.00,Kos Putri,5.67,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1
Jakarta Pusat,0.00,1037000.00,4.80,6.00,12.00,Kos Putri,4.41,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1
Jakarta Pusat,0.00,975000.00,4.80,13.00,19.00,Kos Putri,5.04,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1
Jakarta Pusat,0.00,925000.00,4.50,7.00,10.00,Kos Putri,4.50,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1
Jakarta Barat,0.00,1725000.00,4.60,8.00,27.00,Kos Campur,14.40,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Jakarta Barat,1.00,825000.00,4.60,32.00,80.00,Kos Putra,9.25,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Jakarta Timur,1.00,1355000.00,0.00,0.00,0.00,Kos Campur,10.00,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Jakarta Timur,1.00,1355000.00,0.00,0.00,0.00,Kos Campur,10.00,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Jakarta Timur,1.00,1355000.00,0.00,0.00,0.00,Kos Campur,10.00,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Jakarta Timur,1.00,1355000.00,0.00,0.00,0.00,Kos Campur,10.00,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Jakarta Timur,1.00,1355000.00,0.00,0.00,0.00,Kos Campur,10.00,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Jakarta Pusat,0.00,1380000.00,0.00,0.00,1.00,Kos Putri,9.00,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Jakarta Pusat,0.00,1196000.00,0.00,0.00,0.00,Kos Putri,10.80,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Jakarta Pusat,0.00,1300000.00,5.00,3.00,8.00,Kos Putri,9.00,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Jakarta Pusat,0.00,1100000.00,4.90,40.00,85.00,Kos Putri,9.00,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Jakarta Barat,0.00,1279000.00,0.00,0.00,15.00,Kos Campur,9.00,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Jakarta Selatan,0.00,2025000.00,0.00,0.00,2.00,Kos Putri,14.00,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0
Jakarta Selatan,0.00,1875000.00,0.00,0.00,2.00,Kos Putri,12.00,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0
Jakarta Selatan,0.00,1681000.00,5.00,2.00,1.00,Kos Putri,8.00,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0
