room_name,region,location,room_availability_bs,price,rating,rating_count,transaction_count,tipe_kos,room_area,is_electricity,is_kamar_mandi_dalam,is_kloset_duduk,fac_keamanan,fac_sirkulasi_udara,fac_parkir_motor,fac_parkir_mobil,fac_ruang_bersama,fac_layanan_kebersihan,fac_area_jemur,is_full_furnished,fac_ac,fac_tv,fac_bantal,fac_cermin,fac_shower,fac_air_panas,fac_wifi,fac_kulkas,fac_dapur,fac_dispenser,fac_kipas_angin,fac_kursi,fac_guling,fac_wastafel,fac_ember_mandi,fac_mesin_cuci,fac_bak_mandi,is_discount
Kost Almic Tipe XS Tanjung Priok Jakarta Utara,Jakarta Utara,Tanjung Priok,0.00,1500000.00,0.00,0.00,2.00,Kos Campur,9.00,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
Kost Amanah Pak Reza Tipe A Pulo Gadung Jakarta Timur,Jakarta Timur,Pulo Gadung,1.00,2200000.00,0.00,0.00,0.00,Kos Putri,13.50,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
Kost Amanah Pak Reza Tipe B Pulo Gadung Jakarta Timur,Jakarta Timur,Pulo Gadung,3.00,1500000.00,0.00,0.00,0.00,Kos Putri,9.00,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Kost Angel 2 Tipe A Koja Jakarta Utara,Jakarta Utara,Koja,0.00,1400000.00,0.00,0.00,0.00,Kos Putri,9.00,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0
Kost Anindya Ciracas Jakarta Timur,Jakarta Timur,Ciracas,1.00,1500000.00,0.00,0.00,2.00,Kos Putri,12.00,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
Kost Anindya Ciracas Jakarta Timur,Jakarta Timur,Ciracas,1.00,1500000.00,0.00,0.00,2.00,Kos Putri,12.00,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
Kost Anindya Ciracas Jakarta Timur,Jakarta Timur,Ciracas,1.00,1500000.00,0.00,0.00,2.00,Kos Putri,12.00,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
Kost Anindya Ciracas Jakarta Timur,Jakarta Timur,Ciracas,1.00,1500000.00,0.00,0.00,2.00,Kos Putri,12.00,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
Kost Anindya Ciracas Jakarta Timur,Jakarta Timur,Ciracas,1.00,1500000.00,0.00,0.00,2.00,Kos Putri,12.00,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
Kost AP Tipe A Grogol Petamburan Jakarta Barat,Jakarta Barat,Grogol Petamburan,0.00,2600000.00,0.00,0.00,3.00,Kos Campur,16.00,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
