region,location,room_availability_bs,price,rating,rating_count,transaction_count,tipe_kos,room_area,is_electricity,is_kamar_mandi_dalam,is_kloset_duduk,fac_keamanan,fac_sirkulasi_udara,fac_parkir_motor,fac_parkir_mobil,fac_ruang_bersama,fac_layanan_kebersihan,fac_area_jemur,is_full_furnished,fac_ac,fac_tv,fac_bantal,fac_cermin,fac_shower,fac_air_panas,fac_wifi,fac_kulkas,fac_dapur,fac_dispenser,fac_kipas_angin,fac_kursi,fac_guling,fac_wastafel,fac_ember_mandi,fac_mesin_cuci,fac_bak_mandi,is_discount
Jakarta Utara,Tanjung Priok,1.0,1600000.0,0.0,0.0,4.0,Kos Putri,12.0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
Jakarta Utara,Tanjung Priok,2.0,1450000.0,0.0,0.0,0.0,Kos Campur,12.0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1
Jakarta Timur,Cipayung,2.0,1400000.0,0.0,0.0,1.0,Kos Putri,12.0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jakarta Timur,Cipayung,2.0,1400000.0,0.0,0.0,1.0,Kos Putri,12.0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jakarta Timur,Cipayung,2.0,1400000.0,0.0,0.0,1.0,Kos Putri,12.0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jakarta Timur,Cipayung,2.0,1400000.0,0.0,0.0,1.0,Kos Putri,12.0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jakarta Timur,Pasar Rebo,0.0,1850000.0,0.0,0.0,0.0,Kos Putri,12.0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
Jakarta Timur,Pasar Rebo,0.0,1850000.0,0.0,0.0,0.0,Kos Putri,12.0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
Jakarta Timur,Pasar Rebo,0.0,1850000.0,0.0,0.0,0.0,Kos Putri,12.0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
Jakarta Utara,Tanjung Priok,1.0,2100000.0,0.0,0.0,0.0,Kos Campur,12.0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0
Jakarta Utara,Tanjung Priok,1.0,2200000.0,3.4,1.0,1.0,Kos Campur,16.0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
Jakarta Utara,Tanjung Priok,0.0,1500000.0,0.0,0.0,2.0,Kos Campur,9.0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
Jakarta Timur,Pulo Gadung,1.0,2200000.0,0.0,0.0,0.0,Kos Putri,13.5,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
Jakarta Timur,Pulo Gadung,3.0,1500000.0,0.0,0.0,0.0,Kos Putri,9.0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,Kecamatan Koja,0.0,1400000.0,0.0,0.0,0.0,Kos Putri,9.0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0
Jakarta Timur,Ciracas,1.0,1500000.0,0.0,0.0,2.0,Kos Putri,12.0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
Jakarta Timur,Ciracas,1.0,1500000.0,0.0,0.0,2.0,Kos Putri,12.0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
Jakarta Timur,Ciracas,1.0,1500000.0,0.0,0.0,2.0,Kos Putri,12.0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
Jakarta Timur,Ciracas,1.0,1500000.0,0.0,0.0,2.0,Kos Putri,12.0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
Jakarta Timur,Ciracas,1.0,1500000.0,0.0,0.0,2.0,Kos Putri,12.0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
Jakarta Barat,Grogol Petamburan,0.0,2600000.0,0.0,0.0,3.0,Kos Campur,16.0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
Jakarta Barat,Grogol Petamburan,1.0,2400000.0,4.4,4.0,3.0,Kos Campur,12.0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
Jakarta Pusat,Kemayoran,0.0,1325000.0,4.3,11.0,23.0,Kos Putri,7.919999999999999,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
Jakarta Timur,Duren Sawit,0.0,855000.0,0.0,0.0,0.0,Kos Campur,7.290000000000001,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1
